0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0
0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0
0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
0,1,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,1,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0
0,0,0,0,0,0,1,2,1,0,0,1,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,10,10,10,10,1,0,0,0,0,0,0,0
3,1,3,0,3,0,0,0,10,1,1,10,0,0,0,3,0,3,1,3
3,1,3,0,3,0,0,0,10,1,1,10,0,0,0,3,0,3,1,3
0,0,0,0,0,0,0,1,10,10,10,10,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,1,0,0,1,2,1,0,0,0,0,0,0
0,0,0,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,1,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,1,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0
0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0
0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0
